Sentence,Class
Then the business unit makes a project proposal and a detailed analysis is done,Relevant
Then the product development team does the technical specifications and after that the stakeholders make an analysis of the product and decide whether it is feasible or not,Relevant
If they say that it is infeasible the process ends,Relevant
But if it is feasible then the business unit the product development team and the operations and procurement team meet during a kick off meeting to talk about the project,Relevant
Then those three teams work together in order to make a deeper analysis and conceptual generic drawings,Relevant
Then they still work together to set up a detailed drawing with technical specifications this time,Relevant
When those tasks are done the product development team realises final manufacturing drawings with all the composing parts,Relevant
Then the three teams above mentioned have to gather all the data to put it in the manufacturing file,Relevant
After all these activities the pump is ready to be sold so the product development team puts it in the product catalogue and the process ends,Relevant
The process starts when the production order is received from the SAP system,Relevant
The workers can then take the raw parts needed for a specific pump in the warehouse,Relevant
When it is done they send a notification to inform the SAP system that this step of the production is done,Relevant
Then the system sends a work order to the workers in the machining service and two activities are done in parallel the transformation of raw parts that is done by the workers and the one that is done by the subcontractor,Relevant
When all the pieces are transformed by the subcontractor or by the workers they can store those finished materials in the warehouse and once again inform the SAP system,Relevant
Then they receive another work order from SAP to pre assemble the pump,Relevant
When it is done they store the subsets and inform SAP,Relevant
Once again they receive a work order and they have to do two activities in parallel do the piping and assemble the bareshaft pump4,Relevant
Then when those two activities are done they can assemble the final pump and check its performance thanks to an internal and an external quality controller,Relevant
If the performance is of good quality the pump is dispatched,Relevant
A notification is then sent to SAP and the process ends,Relevant
If the performance is poor they solve the problem and then they check again if it is ok,Relevant
The process starts when the customer notifies a problem to the after sales department,Relevant
They receive the defective material at the plant and they create a file,Relevant
Then they are able to estimate a quote,Relevant
The next step is assessing the problem,Relevant
If the problem comes from the customer the warranty will not be applied but if the company is responsible for it the customer will have to pay nothing for the repairs,Relevant
In the case where the customer is under warranty they apply it,Relevant
If he is not under warranty a final quote is set up and the customer has to accept or to reject it,Relevant
If he rejects the quote the file is closed and the material is sent back,Relevant
The company can still charge him for the time they spent on the pump so they can also create an invoice before sending back the material,Relevant
In the case where he accepts the quote or right after having applied the warranty they create a work order WO,Relevant
Then they get the material they need to do the repairs thanks to the central purchasing,Relevant
Then they have to consider if those are small or big repairs,Relevant
If a big repair has to be done they go on site to do it because of practical reasons then they create the invoice and the process ends,Relevant
If it is only small repairs they do it at Sulzer s workshop and then they send back the material,Relevant
Once it is done they create the invoice and the process ends,Relevant
Before really getting into the recruitment process it is important to know that Resultance tries its best to approach young people,Irrelevant
To do this Resultance is present in schools and on various recruitment sites to promote the company and attract young people,Irrelevant
The recruitment process takes place in several stages,Irrelevant
Applications are received by the HR managers who then sort and select the best applications,Relevant
Once an application is selected an interview is set up between the candidate and the HR managers,Relevant
Then the candidates selected after the first interview are interviewed by a partner of the firm,Relevant
Once the candidate has been selected the integration phase begins the candidate will receive a salary package from the HR department and a mentor will be appointed to supervise the new candidate and help him or her integrate as well as possible,Relevant
A form is sent to all members of the firm to inform them of the arrival of a new employee,Relevant
The integration process On the first day the employee is welcomed by the HR department and the administrative assistant,Relevant
The employee is given his or her work tools mobile phone PC car and is explained the IT tools used at Resultance,Relevant
They are told what they need to know about the firm the company s values are explained to them and they receive their assignment,Relevant
He will be attached to a project and will know the manager who is going to supervise it,Relevant
The welcome continues with the godfather or godmother over a meal to immediately create a relationship and ensure that the new employee is well integrated,Relevant
The employee is then monitored and supervised by his or her manager and feedback is given to ensure that he or she develops well,Relevant
A diagnosis is launched at the customer s premises an employee will describe the company its level of performance in the different departments,Relevant
Risks at the level of processes and organisation will be assessed,Relevant
The intensity of the changes will also be highlighted by the employees responsible for the diagnosis,Relevant
To do this Resultance uses the SWOT tool and focuses on the opportunities,Irrelevant
Once the diagnosis has been established the employees will share the findings and recommendations resulting from the client s analysis,Relevant
From this moment on improvement paths will be described and will reveal the quantitative and qualitative gains that can be made,Relevant
Then a member of staff will draw up a detailed action plan in the form of a gantt chart for each area of improvement,Relevant
Once the diagnosis has been made the areas for improvement put forward it is up to the management team to decide whether or not to take action,Relevant
The diagnosis will make it possible to define the duration of the mission and the number of employees required for the project,Relevant
Based on this an estimate can be drawn up and presented to the client,Relevant
Based on the investigation and on a formal decision taken by the management team a project is launched,Relevant
Resultance pursues the analysis of the client s company in order to gain credibility and establishes the collaborative relationship,Irrelevant
The employees responsible for the project build new tools propose new working methods and processes,Relevant
Workshops are set up at the client s premises to directly involve stakeholders in the changes proposed by Resultance employees,Relevant
Each new proposal must be validated by the steering committee responsible for ensuring that a project runs smoothly within a company,Relevant
The tools are then deployed in the field,Relevant
In order to ensure that the methodologies are properly transformed into results Resultance employees working at the client s site set up and lead the teams to ensure that the new tools are actually implemented,Relevant
The teams are monitored until they reach the objectives set by Resultance,Relevant
This ensures a real collaborative relationship between Resultance and the client,Irrelevant
To ensure that the project runs smoothly a meeting is held once a week with the Resultance project manager and the client s internal project manager,Relevant
This makes it possible for example to resolve any problems immediately if there are any,Irrelevant
In addition to this every 4 to 6 weeks a steering committee with the management committee of the client company is set up to take stock of the actions carried out in the project to take stock of progress and any problems encountered,Relevant
This monitoring makes it possible to give new directions to the project or change priorities,Irrelevant
And finally Resultance ensures the proper transfer of knowledge and tools put in place to ensure sustainability,Relevant
The client is then autonomous and benefits from continuous improvement,Irrelevant
When a new employee joins the company his or her objectives and expectations are entered into the database of a tool called Workday,Relevant
This tool centralizes and automates all the decisions related to human resources management such as managing holidays and leaves evaluations sending reminder for deadlines and registering automated approvals,Relevant
In addition this process requires little or no supervision,Irrelevant
This process of human resources management ends when the employee leaves GSK,Relevant
Once a customer has placed an order the documents related to the purchase are received at the factory while the documents related to transport and the products badge with date of production and expiry date are handled manually,Relevant
The warehouse verifies on paper that the data on the pallets is consistent with the order,Relevant
Then the papers are scanned and sent to the quality team,Relevant
The quality team makes verifications before signing and archiving the file,Relevant
After that the products related to the order can be released,Relevant
This process starts when a client requests a pricing offer to the local Belgian GSK team,Relevant
An employee receives the request and prepares a pricing offer,Relevant
Then according to the 4 eyes principle another employee from the Belgian team checks the offer,Relevant
If there is a discrepancy the offer is corrected,Relevant
When the offer is finally approved it is sent to the central team in India to copy it in SAP,Relevant
The central team signals that the offer is confirmed to the local Belgian team by email,Relevant
When this email is received in Belgium the offer is confirmed to the client,Relevant
There are 3 possibilities for GSK to receive an order for their products from a customer ,Relevant
The customer can place his order through a sales representative of GSK during a physical visit,Relevant
This case applies mainly to the pharmacies,Irrelevant
The representative encodes the order on a tablet connected to the GSK ordering system,Relevant
The customer can also place orders by e mailing the company,Relevant
When the e mail is received the customer service checks the availability of the products ordered,Relevant
The order is checked and sent to the warehouse if the items are in stock,Relevant
In case of shortage the customer is of course notified,Relevant
The third possibility consists in the customer using GSK s platform thanks to a personal identifier interfaced with EDI Electronic Data Interchange,Relevant
Once the order is confirmed it is sent to the warehouse,Relevant
After receiving the order the warehouse verifies that the information is correct,Relevant
Then a staff member in the warehouse picks up the different articles with a cart,Relevant
Once the products are picked up they are boxed and packed,Relevant
Then the order is placed on pallets to be delivered to the customer,Relevant
The tracking of the order and the expected delivery time can be consulted at any time by the customer thanks to the label on the order,Irrelevant
When the products are received by the customer the invoice is sent,Relevant
This process starts when a customer has a complaint about the price or the quantity of one order,Relevant
He or she has to contact the customer service,Relevant
Even if the contact is made by phone an e mail has to be sent to have a written proof of the complaint,Relevant
Then the customer service has to ask the sales manager if the correct price was applied the right quantity was sent,Relevant
If it is the process ends with sending an email of rejection of complaint to the costumer,Relevant
If the price quantity is not correct the customer service generates a credit note and send it to the sales manager who has to print sign scan before sending it back to the customer service,Relevant
Then the customer service also has to print sign scan send it and reimburse the customer,Relevant
The law obliges GSK to keep proof of the complaint for 7 years,Irrelevant
This storage is currently done through paper format documents,Irrelevant
There are two ways to find out something is missing,Irrelevant
Due to the digital transformation most of the inventory is automatically done at the end of the day,Irrelevant
So every morning the supply manager when he sees the ERP alert purchases the products missing or practically missing,Relevant
The manager is constantly prospecting but if something is missing he does not have the time to ask every supplier to make a quote that is a support activity,Relevant
The other way to find out something is missing is by a warehouse worker,Relevant
Thanks to ERP it is hardly happening,Irrelevant
But if while he is picking products something is missing or the quality is not good enough he will directly alert the supply manager so he will purchase new ones,Relevant
Suppliers are listed in the supplier database where the manager can retrieve which product is from which supplier,Irrelevant
The invoice is finally sent to the financial department where it will be paid,Relevant
Most of the leads are firstly received by a telemarketer by mail or by a phone call,Relevant
They will take the information about the client and insert them into the Customer database,Relevant
We will assume that every lead is about B2B,Irrelevant
If the client does not need delivery or a quote he should go to the cash and carry shop in Droixhe,Relevant
The telemarketer will then send the address of the delivery to receive a day of delivery for the client,Relevant
If for some reason the day proposed by the transporter does not suit the client the financial department will analyze if it could economically be possible to charter a truck just for him,Relevant
If not the lead will be aborted,Relevant
If the client agrees and does not need a physical appointment the telemarketer will make a quote,Relevant
Otherwise he will attribute the client to a salesman available who will set an appointment and make the quote,Relevant
When the first quote is made by the salesman or the telemarketer the client might refuse it or accept it,Relevant
If the client accepts it the contract will be signed and the order made,Relevant
If not he might not be interested anymore and the case would be closed or he might want a better quote,Relevant
The salesman telemarketer will need approval from the financial department to lower prices or make a promotion,Relevant
If it is not possible to do a better quote the case will be closed,Relevant
If it is the salesman telemarketer will make the new quote which might once again be approved or refused by the client,Relevant
And so on until the client declined the offer or consented to it,Relevant
When the order arrived at the warehouse if there are some products that need to be pre commanded the manager will do so and the order will be handled as soon as delivered,Relevant
Otherwise he will assign the order to an available worker,Relevant
He will receive the order on his scanner,Relevant
It indicates the emplacement of products and their quantity,Irrelevant
If the product needed is not there the work must advise the manager so he can report the error corrects the database and purchases the product needed,Relevant
Every time the picker picks something he must check the quality and the expiration date in order to avoid any return,Relevant
When all the products of the order are picked the worker needs to check that the weight and the volume correspond to what is expected by the ERP,Relevant
Then if everything is right the worker will confirm the order and emit the shipment order,Relevant
If the order is canceled the financial department will determine the cancelation penalty and charge it to the customer and if the product was not shipped yet the manager will handle the product return,Relevant
When the order is delivered the transporter sends a delivery note to the financial department,Relevant
Then every Monday they emit the invoice for every customer delivered,Relevant
If after 14 days they still do not have the payment they will send a reminder,Relevant
If after another 14 days the order is still unpaid the debt recovery will start and the client will be stuck,Relevant
Whether it is by phone or by mail the information is transcribed into the IT system,Relevant
If the declaration is done via the form in the application or website of Ethias the information ends up directly in the IT system,Relevant
After that the case is opened for the client and the process may continue with the case instruction and examination to see if it meets the conditions to compensate the victim,Relevant
To this end the clerk will assess if there is a matter of liability in the case or not as well as checking if the client contract covers the damage that occurred and assessing the level of damage by means of experts or by his experience,Relevant
At the same time the case handler decides which type of reservation the case should follow,Relevant
In the perspective of an actuarial reservation he informs the actuarial department by sending the case to it,Relevant
In the other perspective the clerk defines the amount to reserve by himself and sends it to the actuarial department to be approved,Relevant
The case handler sees if the coverage conditions are fulfilled that is to say that for cases of engaged liabilities the client should be considered liable otherwise it s not up to his insurance to compensate,Relevant
The other condition is that the contract should cover the damage,Relevant
In the end a notification with the outcome will be sent to the client and if these conditions are well fulfilled Ethias will compensate for the damage,Relevant
The case is finally settled or unsettled,Relevant
In order to understand the reservation process better it is necessary to clarify its purpose,Irrelevant
Then his insurance will have to compensate him once again,Relevant
That s why on the insurance side they have to make a reservation in order to be prepared for these cases,Irrelevant
As seen in the claims management process the clerk decides which type of reservation is needed based on his evaluation,Relevant
Actuarial reservation only deals with cases considered as recurrent and with a higher level of generality also they are most of the time short term cases,Irrelevant
Otherwise the clerk determines and evaluates by himself the amount to reserve but still sends it to the actuarial department for approbation,Relevant
So for this process when the claim management officer informs the actuary that the case needs an actuarial reservation the latter collects all the data regarding the case by means of a database,Relevant
Then he analyzes it in order to fix new hypotheses which will be used for computation,Relevant
This computation is handled by a mathematical program,Relevant
Nevertheless to find which model to use the actuary follows precise guidelines and rules,Irrelevant
