Source;Process Name;#;Sentence,Class
WU;Exercice 13;4;The result of the run leads to the creation of a combination of the following events which may be subject to further processing,Relevant
WU;Exercice 13;5;d) Purchase Requisition Scheduled Quantity Dependent Requirement Planned Order Capacity Load Planning Result and MRP List,Relevant
WU;Exercice 14;1;a) A planned order is either created automatically or manually,Relevant
WU;Exercice 14;2;A combination of automatic and manual creation is also likely,Irrelevant
WU;Exercice 14;3;Once this is achieved the manufacturing department determines the planned order type,Relevant
WU;Exercice 14;4;b) This process is triggered once the conversion date is reached,Relevant
WU;Exercice 14;5;c) Once the planned order is selected the manufacturing department specifies the planned order position,Relevant
WU;Exercice 14;6;d) Depending on the product category (inhouse production external procurement) the planned order is either to be converted into a production order a purchase requisition or a process order,Relevant
WU;Exercice 14;7;e) For a conversion into a production order the manufacturing department needs to specify the production order type so that the conversion to a production order may be started,Relevant
WU;Exercice 14;8;f) For a conversion into a purchase requisition the purchasing department needs to specify the procurement type so that the conversion to a purchase requisition may be started,Relevant
WU;Exercice 14;9;g) For a conversion into a production order the manufacturing department needs to specify the process order type so that the conversion to a process order may be started,Relevant
WU;Exercice 15;1;a) For the creation of a sales plan both sales and production planning need to be established,Relevant
WU;Exercice 15;2;Thereafter the plant controlling department specifies the planning object (material and the plant) and then the production planning version,Relevant
WU;Exercice 15;3;b) Once the production planning version is specified the plant controlling department specifies the sales quantities which can either be entered directly into the planning table or derived from SD or COPA,Relevant
WU;Exercice 15;4;c) Then the plant controlling department specifies the production quantities which are either entered manually or calculated with target stocks or with stock level zero or with view to direct distribution,Relevant
WU;Exercice 15;5;d) Once the production quantities specified the plant controlling department judges the capacity situation and the production planning version is specified,Relevant
WU;Exercice 15;6;If necessary the production plan is corrected leading finally to the production and sales plan,Relevant
WU;Exercice 16;1;a) Prior to creating a material master the product manager needs to specify the material type,Relevant
WU;Exercice 16;2;Then the material number and the industry sector are determined,Relevant
WU;Exercice 16;3;A material number is assigned either externally or internally,Relevant
WU;Exercice 16;4;b) The product manager maintains the material master views Accounting Sales Distribution Purchasing Classification and Warehouse,Relevant
WU;Exercice 16;5;c) In the accounting view valuation types are created by the product manager in case the split valuation is specified,Relevant
WU;Exercice 16;6;Of course no valuation types are created if the split valuation is not specified,Irrelevant
WU;Exercice 16;7;And finally the material master is created,Relevant
WU;Exercice 17;1;a) On receiving an inquiry the sales department checks whether the data is complete or not,Relevant
WU;Exercice 17;2;b) Any missing data is collected by telephone (the sales department is still responsible),Relevant
WU;Exercice 17;3;c) Once the data is complete the inquiry is processed at the sales distribution system (SD),Relevant
WU;Exercice 17;4;Data is article name quantity and date of delivery…,Irrelevant
WU;Exercice 17;5;d) Afterwards the controlling department determines the preliminary costs of the product and the research development department (RD) checks the technical feasibility,Relevant
WU;Exercice 17;6;The systems used are SD material management (MM) and production planning (PP),Irrelevant
WU;Exercice 17;7;e) Raw materials having a long period of delivery are purchased by the purchasing department in advance,Relevant
WU;Exercice 17;8;f) After that the sales department checks whether sufficient production capacity is available or not,Relevant
WU;Exercice 17;9;If yes the offer is sent to the customer,Relevant
WU;Exercice 18;1;a) To issue a bill the cashier initializes the cash register,Relevant
WU;Exercice 18;2;This triggers the printing of the receipt header,Relevant
WU;Exercice 18;3;Then the cashier feeds the cash register with both article code and quantity,Relevant
WU;Exercice 18;4;b) The cash registers are connected to a local server at the outlet on which an invoicing program runs returning the descriptions and prices of the captured EANCodes,Relevant
WU;Exercice 18;5;c) Once the data has been returned the corresponding receipt line (description price and quantity) is printed on the invoice form,Relevant
WU;Exercice 18;6;At the same time the inventory is updated simultaneously,Relevant
WU;Exercice 18;7;d) Thereafter the cashier verifies if any articles are left for buying,Relevant
WU;Exercice 18;8;e) For an additional article to be bought the process starts all over again (The receipt header is printed only once),Relevant
WU;Exercice 18;9;f) Once all articles are captured the total invoice amount is printed on the receipt and the billing process is completed,Relevant
WU;Exercice 19;1;a) Upon receipt of an order from a customer or from sales sales support uses the Sales Distribution module (SD) to verify if customer master data is available,Relevant
WU;Exercice 19;2;b) If this is a new customer then the accounts receivables department (AR) is asked to create the customer master data,Relevant
WU;Exercice 19;3;The systems used for that purpose are AR and SD,Irrelevant
WU;Exercice 19;4;c) Thereafter customer service captures the order in SD and performs a credit limit check on the order,Relevant
WU;Exercice 19;5;If the customer´s credit limit is not exceeded then customer service posts the order and the process is completed,Relevant
WU;Exercice 19;6;d) If the credit limit is exceeded then the order is put on hold,Relevant
WU;Exercice 19;7;The accounts receivables department inquires the reasons for the hold and asks customer service to cancel the order if the reasons are permanent,Relevant
WU;Exercice 19;8;The process is completed in this case,Relevant
WU;Exercice 19;9;e) If the reasons for the credit hold are temporary then the system checks regularly for incoming payments and releases the order if the credit is within the limit customer service then posts the order,Relevant
WU;Exercice 19;10;f) If the credit limit is still exceeded then the order is kept on hold and the whole credit limit checking process starts all over again until the limit is met,Relevant
WU;Exercice 20;1;a) When a customer calls it is either to place a new order or to ask for technical support for information regarding an order or none of the mentioned reasons,Relevant
WU;Exercice 20;2;b) If the customer wants to place a new order then the call centre agent who takes the call first will put the customer through to a sales representative who will then collect the necessary information for the order,Relevant
WU;Exercice 20;3;c) For technical assistance the call centre agent transfers the call to a technical support agent who will provide the necessary support using the technical data sheet of the product,Relevant
WU;Exercice 20;4;d) For information to an existing order and for all other inquiries the call is transferred to customer service,Relevant
WU;Exercice 20;5;Should the line be engaged then the customer will need to wait until the customer service agent becomes available,Relevant
WU;Exercice 20;6;e) Thereafter the customer service agent starts processing the customer´s request,Relevant
WU;Exercice 20;7;If it is not possible to complete it then the supervisor is consulted for help,Relevant
WU;Exercice 20;8;If so the request is completed,Relevant
WU;Exercice 20;9;f) Should the supervisor be unable to help the request is declined and the customer informed,Relevant
WU;Exercice 21;1;a) Once a purchase requisition is generated it is verified by the purchasing department,Relevant
WU;Exercice 21;2;The module used is material management (MM),Irrelevant
WU;Exercice 21;3;Then the RFQs (request for quotation) are created and sent to potential vendors,Relevant
WU;Exercice 21;4;b) Thereafter the purchasing department waits until the quotations are received from the vendors and places a purchase order after choosing the vendor with the best conditions,Relevant
WU;Exercice 21;5;An order confirmation is requested,Relevant
WU;Exercice 21;6;c) The order is followed up with the vendor and a reminder is sent if the delivery time is not met,Relevant
WU;Exercice 21;7;The purchasing department will keep following up with the vendor until receipt of the goods,Relevant
WU;Exercice 21;8;The invoice is received at the same time,Relevant
WU;Exercice 21;9;d) Thereafter the inventory department transfers the goods to stock and the purchasing department verifies the invoice,Relevant
WU;Exercice 21;10;e) If the invoice is not correct the purchasing department requests an invoice correction,Relevant
WU;Exercice 21;11;Finally account payable department posts the correct invoice using the module accounts payable (AP),Relevant
WU;Exercice 22;1;a) On occurrence of a capacity shortage the system verifies whether to perform an interactive or an automatic calibration,Relevant
WU;Exercice 22;2;The system used is PP (production planning),Relevant
WU;Exercice 22;3;b) For interactive calibration the manufacturing department starts the calibration run leading to any of the following events production is rescheduled or tools are relocated or additional resources are allocated or the working sequence is modified,Relevant
WU;Exercice 22;4;c) Thereafter the calibration is completed,Relevant
WU;Exercice 22;5;If capacity shortage still persists and another run is indicated interactive calibration will be executed again otherwise the calibration is aborted,Relevant
WU;Exercice 22;6;d) In any case the manufacturing department examines the whole network for functional failures at the end of the process,Relevant
WU;Exercice 23;1;a) To launchrelaunch a product the design department needs to prepare a raw design according to the product specification using the CADsystem,Relevant
WU;Exercice 23;2;b) Once the raw design is completed the following departments test if the product meets their requirements the sales the manufacturing the purchasing and the quality control department,Relevant
WU;Exercice 23;3;c) Should the tests fail in one of the departments then the raw design is revised and the modified product is tested again by all departments,Relevant
WU;Exercice 23;4;d) Once the tests are successful the departments give instructions to prepare the final design,Relevant
WU;Exercice 23;5;Thereafter the drafting department prepares the final design,Relevant
WU;Exercice 23;6;e) The finally drafted product is tested like the raw design (see b),Relevant
WU;Exercice 23;7;f) After successfully testing the drafted product the drafting department prepares the documentation and the process is completed,Relevant
WU;Exercice 24;1;a) The manufacturing department creates a production order by converting a Planned Order (if available) using the Production Planning and Control (PP) system,Relevant
WU;Exercice 24;2;During the conversion process the basic data is created automatically,Relevant
WU;Exercice 24;3;b) Alternatively the production order is created manually,Relevant
WU;Exercice 24;4;In this case basic data (scheduling data production order header data quantity data) is entered manually,Relevant
WU;Exercice 24;5;c) Thereafter the system tries to determine the routing automatically,Relevant
WU;Exercice 24;6;If the routing is available then operation data (operation data and PRT) is transferred from the routing to the production order,Relevant
WU;Exercice 24;7;d) If the routing does not exist then operation data is captured manually by the manufacturing department,Relevant
WU;Exercice 24;8;e) Thereafter the system automatically determines the BOM,Relevant
WU;Exercice 24;9;If the BOM exists the components are transferred to the production order,Relevant
WU;Exercice 24;10;Otherwise then the components are entered manually,Relevant
WU;Exercice 24;11;f) Alternatively the components may be transferred from the planned order if the BOM has not been determined,Relevant
WU;Exercice 24;12;g) Then the manufacturing department reviews the production order data and the system schedules the production order,Relevant
WU;Exercice 24;13;Finally the production order is saved,Relevant
WU;Exercice 25;1;a) When a passenger (PAX) shows up at the express checkin counter the checkin agent determines whether the PAX carries hand luggage only or also additional luggage,Relevant
WU;Exercice 25;2;b) If the PAX carries additional luggage the agent checks whether the PAX holds a business class ticket or an economy class ticket (ticket data) and sends the PAX to the corresponding checkin counter,Relevant
WU;Exercice 25;3;c) For a PAX with hand luggage only the agent puts the ticket into the reader and checks whether the computer (reservation system) shows a choice of seats (windowaisle seats) or not,Relevant
WU;Exercice 25;4;d) If there is no choice the agent books an available seat immediately otherwise he asks the PAX for his preference and books a seat accordingly,Relevant
WU;Exercice 25;5;e) Thereafter the checkin agent prints the boarding pass and returns the ticketboarding pass to the PAX while telling gate and boarding time (airport flight information system) to the PAX,Relevant
WU;Exercice 25;6;f) After finishing either b) or e) the express checkin PAX handling is completed (the PAX has either been checked in or sent to another check in counter to check in his additional luggage),Relevant
WU;Exercice 26;1;a) The first step in the handling of a business process is to distribute the assignments to the person in charge,Relevant
WU;Exercice 26;2;This is carried out by the process manager in coordination with the department manager and supported by the workflowsystem,Relevant
WU;Exercice 26;3;b) Once distributed the person in charge processes the assignments using the workflowsystem,Relevant
WU;Exercice 26;4;c) If no issues occur then the assignments are completed and the business process is completed,Relevant
WU;Exercice 26;5;d) In case there are issues the person in charge determines the type of issue,Relevant
WU;Exercice 26;6;e) For issues relative to the content the person in charge analyses the issues and consults the department manager who finds a solution to the problem,Relevant
WU;Exercice 26;7;f) For issues regarding the deadline the process is as follows until a solution is found the hierarchically next manager will be involved,Relevant
WU;Exercice 26;8;The order is as follows process manager department manager division manager CEO (solves the issue),Relevant
WU;Exercice 27;1;a) To register for a course a student has to log in LPIS,Relevant
WU;Exercice 27;2;For this he has to enter his immatriculation number and his password,Relevant
WU;Exercice 27;3;b) When the wrong combination is entered the system proofs how often it was wrong,Relevant
WU;Exercice 27;4;After the third try the account is blocked for half an hour,Relevant
WU;Exercice 27;5;The process ends,Relevant
WU;Exercice 27;6;c) If the combination is right the system forwards the student to the main menu,Relevant
WU;Exercice 27;7;d) There the student can choose between the grades menu the courses menu and the exams menu or can log out,Relevant
WU;Exercice 27;8;e) If the student wants to see his grades he chooses the grades menu,Relevant
WU;Exercice 27;9;There he gets an abstract of his grades on the screen,Relevant
WU;Exercice 27;10;He can choose if he want to print this page or go back to the main menu,Relevant
WU;Exercice 27;11;After printing the Student can print it again or go back,Relevant
WU;Exercice 27;12;f) If the student wants to change exams he chooses the exams menu,Relevant
WU;Exercice 27;13;There he gets a page showing all possible exams,Relevant
WU;Exercice 27;14;He can choose if he wants to register or deregister for an exam or he wants to go back to the main menu,Relevant
WU;Exercice 27;15;It is possible to registerderegister,Irrelevant
WU;Exercice 27;16;g) If the student wants to register or deregister from a course he chooses the courses menu,Relevant
WU;Exercice 27;17;He gets a page displaying all the curriculum points,Relevant
WU;Exercice 27;18;He can choose the different curriculum points or go back to main menu,Relevant
WU;Exercice 27;19;If there are courses available he can chose them,Relevant
WU;Exercice 27;20;h) If the student logs out from LPIS the process is over,Relevant
WU;Exercice 28;1;a) A customer wants to rent a car,Relevant
WU;Exercice 28;2;The customer service agent looks into the customer system to verify if the customer is an existing one or if he is new,Relevant
WU;Exercice 28;3;b) If the customer is new the customer service agent inserts personal data and driver`s license information into the system,Relevant
WU;Exercice 28;4;If the customer is a business client the service agent also has to enter a corporate bonus program,Relevant
WU;Exercice 28;5;c) Whether it is a new or an existing customer the process continues with verifying a possible corporate bonus program,Relevant
WU;Exercice 28;6;Then he has to allocate possible additional services for this program,Relevant
WU;Exercice 28;7;d) Afterwards the customer has to specify the rental period requested by the service agent,Relevant
WU;Exercice 28;8;e) The customer chooses a vehicle class and additional features,Relevant
WU;Exercice 28;9;The customer service agent looks into the system to see if a suitable car is available or not,Relevant
WU;Exercice 28;10;f) If no suitable car is available the customer service agent will look for an alternative for the customer until a car is found,Relevant
WU;Exercice 28;11;Therefore the service agent asks the customer for different features,Relevant
WU;Exercice 28;12;g) If the car rental couldn`t offer a suitable car the customer leaves the shop and the process ends,Relevant
WU;Exercice 28;13;h) If a suitable car is found the customer has to choose the type of insurance he wants and has to decide if he wants a chauffeur,Relevant
WU;Exercice 28;14;i) If the customer wants a chauffeur the customer service agent chooses an available one for the period requested,Relevant
WU;Exercice 28;15;j) Then the customer service agent prints the invoice which the customer has to sign,Relevant
WU;Exercice 28;16;At the same time the customer has to pay a deposit which can be in cash or by credit card,Relevant
WU;Exercice 28;17;k) If both the invoice is signed and the deposit paid the customer service agent gives the customer the keys documents and necessary information about the car (eg fuel emergency number where he can pick up the car etc),Relevant
WU;Exercice 28;18;l) Afterwards the customer goes to the car park,Relevant
WU;Exercice 28;19;There he shows the invoice to the dispatcher,Relevant
WU;Exercice 28;20;m) The dispatcher brings the customer to the rented car,Relevant
WU;Exercice 28;21;n) The transaction is completed the process ends,Relevant
WU;Exercice 29;1;a) A customer wants to start an auction,Relevant
WU;Exercice 29;2;Therefore he must login in the auction system with his username and his password,Relevant
WU;Exercice 29;3;If he enters this combination wrong three times the system blocks the login for half an hour,Relevant
WU;Exercice 29;4;b) If the login is correct the system verifies whether the account is activated or not using the account information,Relevant
WU;Exercice 29;5;If the account has not yet been activated the system forwards the user to the activating window and ends the startprocess,Relevant
WU;Exercice 29;6;c) If the account has been activated the system verifies if the account is blocked,Relevant
WU;Exercice 29;7;If a block exists the customer will be informed and the system ends the startprocess,Relevant
WU;Exercice 29;8;d) If the customer is not blocked the system forwards him in his account,Relevant
WU;Exercice 29;9;There he can create an auction with the management software (MS),Relevant
WU;Exercice 29;10;At the beginning the customer has to choose one category,Relevant
WU;Exercice 29;11;e) After that he has to enter the title of the auction and he can upload one or more images,Relevant
WU;Exercice 29;12;There is a maximum size for the images so the system will verify this automatically,Relevant
WU;Exercice 29;13;If the picture is too big the customer has to choose another one,Relevant
WU;Exercice 29;14;f) Following this the seller has to enter some productspecific information and an individual description,Relevant
WU;Exercice 29;15;g) After entering both the customer has to input end time payment details and transport information,Relevant
WU;Exercice 29;16;h) When the seller has entered all these information he can see a preview,Relevant
WU;Exercice 29;17;The seller can decide if he is satisfied or if he wants to change some entries,Relevant
WU;Exercice 29;18;Therefore the system goes back to the first step where the customer has to choose a category,Relevant
WU;Exercice 29;19;i) When the customer is satisfied he posts the auction on the website the process is over,Relevant
WU;Exercice 30;1;a) There are two ways the process may be started,Relevant
WU;Exercice 30;2;On the one hand a customer is interested in a specific product or group of products and approaches the customer consultant to speak to him,Relevant
WU;Exercice 30;3;On the other hand when the customer consultant approaches the customer,Relevant
WU;Exercice 30;4;b) Following successful first contact the potential customers says what he would like or what he is interested in,Relevant
WU;Exercice 30;5;c) The customer consultant looks for a suitable product,Relevant
WU;Exercice 30;6;If he doesnt find a suitable product he speaks with the customer about alternatives,Relevant
WU;Exercice 30;7;d) Is the customer interested in alternative products the consultant looks again if he can find a suitable one,Relevant
WU;Exercice 30;8;If the customer is not interested in alternative products the process is over,Relevant
WU;Exercice 30;9;e) If the customer likes the product the customer consultant checks if the product is currently in stock,Relevant
WU;Exercice 30;10;If it is in stock the customer gets an invoice,Relevant
WU;Exercice 30;11;f) The size must be verified is it a small product the customer can collect it and take it with him,Relevant
WU;Exercice 30;12;g) On the other hand if it is a bully product the customer is given an order confirmation and with this he can pick up the product from the warehouse,Relevant
WU;Exercice 30;13;h) The invoice must be paid at the cash desk The customer then gets a receipt,Relevant
WU;Exercice 30;14;If the customer has the product in his possession the buying process is over,Relevant
WU;Exercice 30;15;i) When it is not in his possession he has to go to the warehouse with the receipt and the order confirmation where he receives the product,Relevant
WU;Exercice 30;16;The buying process is over,Relevant
WU;Exercice 30;17;j) If the product is not in stock the customer consultant will order it,Relevant
WU;Exercice 30;18;The customer receives an order confirmation and an invoice,Relevant
WU;Exercice 30;19;k) The customer consultant makes a note of the customer`s phone number in order to contact him when the product has been delivered,Relevant
WU;Exercice 30;20;l) The customer leaves the shop and has to wait for the product,Relevant
WU;Exercice 30;21;The buying process is over,Relevant
WU;Exercice 31;1;a) The customer takes the item to the delivery store in order to send it,Relevant
WU;Exercice 31;2;The cashier verifies on the customer system whether the customer is a new or an existing one,Relevant
WU;Exercice 31;3;b) If they are new customers the cashier asks if they want to be repeat customers or simply casual customers,Relevant
WU;Exercice 31;4;If they are repeat customers their details are entered into the system,Relevant
WU;Exercice 31;5;c) All customers need a form to send the item,Relevant
WU;Exercice 31;6;The customer can either print it out at home and bring it already filled out or the cashier can give him the form to fill out in store,Relevant
WU;Exercice 31;7;d) The cashier has to check if all necessary information has been completed,Relevant
WU;Exercice 31;8;If not the cashier and the customer fill in the missing sections,Relevant
WU;Exercice 31;9;e) After the form has been filled out the cashier has to wrap the package for delivery,Relevant
WU;Exercice 31;10;f) The weight of the package must be determined to find out the base price (weight categories),Relevant
WU;Exercice 31;11;Then the cashier has to enter into the system if the package is fragile or dangerous,Relevant
WU;Exercice 31;12;g) Next the cashier has to verify if the customer wants additional criteria (eg quick delivery insurance) and enter this information into the system,Relevant
WU;Exercice 31;13;h) In the next step the cashier tells the customer the price,Relevant
WU;Exercice 31;14;i) The customer pays the price,Relevant
WU;Exercice 31;15;At the same time the cashier prepares and prints the receipt and gives it to the customer,Relevant
WU;Exercice 31;16;j) The item is placed into the correct box the sending process is completed,Relevant
WU;Exercice 32;1;a) The process starts with the arrival of a client with a car,Relevant
WU;Exercice 32;2;Once the client is already in the office the front office clerk checks the existing appointments,Relevant
WU;Exercice 32;3;b) If no appointment exists the front office clerk tries to determine what sort of problem the customer has with his vehicle and once the possible problem has been determined and records about it have been made the front office clerk checks the local IT system using the created records to determine which division(s) isare responsible for this kind of problem,Relevant
WU;Exercice 32;4;After one or several divisions hashave been found in the system the front office clerk checks for free capacities,Relevant
WU;Exercice 32;5;On the other hand if the customer already has an appointment the the following process is described in d) ,Relevant
WU;Exercice 32;6;c) For the case that free capacities are available please follow d) too,Relevant
WU;Exercice 32;7;If no free capacities are available the front office clerk checks the schedule for free dates,Relevant
WU;Exercice 32;8;Once the calendar with appointments has been checked the front office clerk suggests an appointment,Relevant
WU;Exercice 32;9;If the customer agrees the process continues with the storage of the damaged car described in d),Relevant
WU;Exercice 32;10;Customers who decline the offer leave the service station and the process is over,Relevant
WU;Exercice 32;11;There is also a possible case when a customer agrees to make an appointment but doesnt come back,Relevant
WU;Exercice 32;12;d) The office clerk stores the car,Relevant
WU;Exercice 32;13;To perform this task he needs a car number and customer data to enter them in the local IT system,Relevant
WU;Exercice 32;14;After the car has been stored the process continues with the actual repair (process navigation Repairs described in e)),Relevant
WU;Exercice 32;15;Once the repair(s) hashave been done the front office clerk gives the car to the customer (the local IT system is used),Relevant
WU;Exercice 32;16;At the same time the accounting department issues a bill using customer and car data as well as information about the repair work provided (the system is Accounting Management),Relevant
WU;Exercice 32;17;Finally when the both processes are completed the customer leaves the service station,Relevant
WU;Exercice 32;18;e) Once the car has been stored the front office clerk uses the IT system to determine the next car to be sent for repair (schedule records car number and division data are entered) Thereafter he has to check if the car is clean,Relevant
WU;Exercice 32;19;For cars that need cleansing the front office dispatches them to an inhouse car wash,Relevant
WU;Exercice 32;20;Then the front office determines the division responsible for the car,Relevant
WU;Exercice 32;21;The three possible problems may refer to painting exterior problems engine problems or electrical problems,Relevant
WU;Exercice 32;22;A single car can visit one or multiple divisions that responsible for different kind of problems,Irrelevant
WU;Exercice 32;23;f) For cars with paintingexterior problems the automotive paints division at first determines the work scope,Relevant
WU;Exercice 32;24;The vehicle either needs whole new body paint or only particular parts need to be painted,Relevant
WU;Exercice 32;25;When the second case applies the automotive paints division dismounts the chosen parts and at the same time makes records about them in the IT system,Relevant
WU;Exercice 32;26;Once the car is prepared by the division (for this process they need car parts and automotive paints as inputs) they can conduct the paint job,Relevant
WU;Exercice 32;27;g) For cars with engine problems the mechanical repairs division firstly examines the car engine,Relevant
WU;Exercice 32;28;Depending on the damage and the number of damaged parts the parts are either repaired or new parts are needed or both cases apply for different damaged parts,Relevant
WU;Exercice 32;29;For repairable parts the mechanical repairs division uses specialized manufacturers software and repairs the single parts In the second case the division purchases new parts directly from supplier (specialized software used),Relevant
WU;Exercice 32;30;Once the parts have been repaired or the new parts have been delivered they have to be installed,Relevant
WU;Exercice 32;31;When the engine is ready the mechanics start it up,Relevant
WU;Exercice 32;32;If the engine works properly the problem is solved,Relevant
WU;Exercice 32;33;In any other case a problem still exists and the mechanical repairs division has to examine the engine once more performing all steps again,Relevant
WU;Exercice 32;34;h) For cars with electrical problems the electrical repairs division finds the problem using specialized manufacturers software (that is needed at every step) for the particular car brand,Relevant
